experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i0,7820,0,0,OK,1,1452,995,830153,259428,166272,98088,98088,0,none,none,51,49,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i0,7820,0,0,OK,1,1464,1691,609348,167300,144504,98088,98088,0,none,none,51,49,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i0,7820,1,0,OK,1,1452,995,830195,259428,166272,98088,98088,0,none,none,51,49,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i0,7820,1,0,OK,1,1464,1691,609337,167300,144504,98088,98088,0,none,none,51,49,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i0,7820,2,0,OK,1,1452,995,830196,259428,166272,98088,98088,0,none,none,51,49,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i0,7820,2,0,OK,1,1464,1691,609352,167300,144504,98088,98088,0,none,none,51,49,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i1,7821,0,0,OK,1,1464,1410,1175196,259428,137320,96612,96612,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i1,7821,0,0,OK,1,1464,1816,361128,138348,129100,96612,96612,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i1,7821,1,0,OK,1,1464,1410,1175263,259428,137320,96612,96612,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i1,7821,1,0,OK,1,1464,1816,361115,138348,129100,96612,96612,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i1,7821,2,0,OK,1,1464,1410,1175271,259428,137320,96612,96612,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i1,7821,2,0,OK,1,1464,1816,361118,138348,129100,96612,96612,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,0,0,OK,1,1464,1469,1247431,259428,131744,78540,78540,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,0,0,OK,1,1470,2165,654373,132772,114108,78540,78540,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,1,0,OK,1,1464,1469,1247513,259428,131744,78540,78540,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,1,0,OK,1,1470,2165,654371,132772,114108,78540,78540,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,2,0,OK,1,1464,1469,1247488,259428,131744,78540,78540,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,2,0,OK,1,1470,2165,654377,132772,114108,78540,78540,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,0,0,OK,1,1452,888,767114,259428,171404,78540,78540,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,0,0,OK,1,1458,1395,463503,172432,154596,78540,78540,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,1,0,OK,1,1452,888,767167,259428,171404,78540,78540,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,1,0,OK,1,1458,1395,463504,172432,154596,78540,78540,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,2,0,OK,1,1452,888,767175,259428,171404,78540,78540,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,2,0,OK,1,1458,1395,463496,172432,154596,78540,78540,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,0,0,OK,1,1476,1432,1222545,259428,135084,78520,78520,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,0,0,OK,1,1476,1432,16727,136112,135052,78520,78520,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,1,0,OK,1,1476,1432,1222599,259428,135084,78520,78520,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,1,0,OK,1,1476,1432,16730,136112,135052,78520,78520,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,2,0,OK,1,1476,1432,1222596,259428,135084,78520,78520,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,2,0,OK,1,1476,1432,16724,136112,135052,78520,78520,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i5,7825,0,0,OK,1,1446,848,714497,259428,174816,78520,78520,0,none,none,49,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i5,7825,0,0,OK,1,1452,1451,545064,175844,160872,78520,78520,0,none,none,49,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i5,7825,1,0,OK,1,1446,848,714583,259428,174816,78520,78520,0,none,none,49,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i5,7825,1,0,OK,1,1452,1451,545053,175844,160872,78520,78520,0,none,none,49,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i5,7825,2,0,OK,1,1446,848,714574,259428,174816,78520,78520,0,none,none,49,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i5,7825,2,0,OK,1,1452,1451,545047,175844,160872,78520,78520,0,none,none,49,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,0,0,OK,1,1470,1199,988483,259428,151280,46480,46480,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,0,0,OK,1,1482,1813,551437,152308,125760,46480,46480,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,1,0,OK,1,1470,1199,988525,259428,151280,46480,46480,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,1,0,OK,1,1482,1813,551443,152308,125760,46480,46480,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,2,0,OK,1,1470,1199,988542,259428,151280,46480,46480,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,2,0,OK,1,1482,1813,551443,152308,125760,46480,46480,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,0,0,OK,1,1476,1461,1225801,259428,133496,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,0,0,OK,1,1482,2064,544240,134524,112468,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,1,0,OK,1,1476,1461,1225831,259428,133496,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,1,0,OK,1,1482,2064,544227,134524,112468,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,2,0,OK,1,1476,1461,1225837,259428,133496,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,2,0,OK,1,1482,2064,544235,134524,112468,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,0,0,OK,1,1446,972,821096,259428,165500,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,0,0,OK,1,1452,1624,571414,166528,148736,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,1,0,OK,1,1446,972,821168,259428,165500,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,1,0,OK,1,1452,1624,571418,166528,148736,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,2,0,OK,1,1446,972,821169,259428,165500,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,2,0,OK,1,1452,1624,571410,166528,148736,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
