experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T132635Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i0,4410,0,0,OK,1,704,263,39983,289428,289000,249500,249500,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132635Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i0,4410,1,0,OK,1,704,263,40077,289428,289000,249500,249500,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132635Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i0,4410,2,0,OK,1,704,263,40084,289428,289000,249500,249500,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132635Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i1,4411,0,0,OK,1,704,290,44248,289428,289000,243444,243444,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132635Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i1,4411,1,0,OK,1,704,290,44349,289428,289000,243444,243444,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132635Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i1,4411,2,0,OK,1,704,290,44335,289428,289000,243444,243444,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132635Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i2,4412,0,0,OK,1,710,299,45814,289428,288992,240708,240708,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132635Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i2,4412,1,0,OK,1,710,299,45910,289428,288992,240708,240708,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132635Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i2,4412,2,0,OK,1,710,299,45914,289428,288992,240708,240708,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132635Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i3,4413,0,0,OK,1,704,208,34128,289428,289000,240708,240708,0,none,none,-1,-1,0,160,v5.2.2,unavailable
