run_id,planner,scenario,start_time,end_time,firmware_commit,device,timeout,completion_marker_seen,reset_method
esp32_20260808T132635Z,AStar,initial_50x50_density10,2026-08-08T05:26:35.472532+00:00,2026-08-08T05:26:51.003078+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,AStar,initial_100x100_density20,2026-08-08T05:26:51.003193+00:00,2026-08-08T05:27:13.165823+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,AStar,initial_500x500_density20,2026-08-08T05:27:13.165970+00:00,2026-08-08T05:27:27.621773+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,AStar,dynamic_50x50_density10,2026-08-08T05:27:27.621885+00:00,2026-08-08T05:27:47.913864+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,AStar,dynamic_100x100_density20,2026-08-08T05:27:47.914019+00:00,2026-08-08T05:28:35.525181+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,AStar,dynamic_500x500_density30,2026-08-08T05:28:35.525304+00:00,2026-08-08T05:28:49.766674+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,JPS,initial_50x50_density10,2026-08-08T05:28:49.766789+00:00,2026-08-08T05:29:04.815047+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,JPS,initial_100x100_density20,2026-08-08T05:29:04.815164+00:00,2026-08-08T05:29:25.379830+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,JPS,initial_500x500_density20,2026-08-08T05:29:25.380053+00:00,2026-08-08T05:29:39.724115+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,JPS,dynamic_50x50_density10,2026-08-08T05:29:39.724228+00:00,2026-08-08T05:29:59.266876+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,JPS,dynamic_100x100_density20,2026-08-08T05:29:59.267002+00:00,2026-08-08T05:30:42.969672+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,JPS,dynamic_500x500_density30,2026-08-08T05:30:42.969814+00:00,2026-08-08T05:30:57.287274+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,DStarLite,initial_50x50_density10,2026-08-08T05:30:57.287389+00:00,2026-08-08T05:31:19.323510+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,DStarLite,initial_100x100_density20,2026-08-08T05:31:19.323655+00:00,2026-08-08T05:32:14.228888+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,DStarLite,initial_500x500_density20,2026-08-08T05:32:14.228996+00:00,2026-08-08T05:32:28.116246+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,DStarLite,dynamic_50x50_density10,2026-08-08T05:32:28.116356+00:00,2026-08-08T05:32:55.249815+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,DStarLite,dynamic_100x100_density20,2026-08-08T05:32:55.249952+00:00,2026-08-08T05:34:23.819622+00:00,unavailable,/dev/ttyACM0,240,1,flash
esp32_20260808T132635Z,DStarLite,dynamic_500x500_density30,2026-08-08T05:34:23.819751+00:00,2026-08-08T05:34:37.794910+00:00,unavailable,/dev/ttyACM0,240,1,flash
